
****************************************

  MemTrackerLog 

       Sep 25 2024  
       19:48:13  

****************************************

External Libs: 

Leak(414)  32 bytes ref:1281 
Leak(415)  16 bytes ref:1283 
Leak(416)  32 bytes ref:1284 
Leak(417)  16 bytes ref:1286 
Leak(418)  32 bytes ref:1287 
Leak(419)  16 bytes ref:1289 
Leak(420)  32 bytes ref:1290 
Leak(421)  16 bytes ref:1292 
Leak(422)  32 bytes ref:1293 
Leak(423)  16 bytes ref:1295 
Leak(424)  32 bytes ref:1296 
Leak(425)  16 bytes ref:1298 
Leak(426)  32 bytes ref:1299 
Leak(427)  16 bytes ref:1301 
Leak(428)  32 bytes ref:1302 
Leak(429)  16 bytes ref:1304 
Leak(430)  32 bytes ref:1305 
Leak(431)  16 bytes ref:1307 
Leak(432)  32 bytes ref:1308 
Leak(433)  16 bytes ref:1310 
Leak(434)  32 bytes ref:1311 
Leak(435)  16 bytes ref:1525 
Leak(436)  32 bytes ref:1526 
Leak(437)  16 bytes ref:1528 
Leak(438)  32 bytes ref:1529 
Leak(439)  16 bytes ref:1531 
Leak(440)  32 bytes ref:1532 
Leak(441)  16 bytes ref:1534 
Leak(442)  48 bytes ref:1535 
Leak(443)  16 bytes ref:1537 
Leak(444)  32 bytes ref:1538 
Leak(445)  16 bytes ref:1540 
Leak(446)  32 bytes ref:1541 
Leak(447)  16 bytes ref:1543 
Leak(448)  32 bytes ref:1544 
Leak(449)  16 bytes ref:1546 
Leak(450)  32 bytes ref:1547 
Leak(451)  16 bytes ref:1549 
Leak(452)  32 bytes ref:1550 
Leak(453)  16 bytes ref:1552 
Leak(454)  32 bytes ref:1553 
Leak(455)  16 bytes ref:1555 
Leak(456)  32 bytes ref:1556 
Leak(457)  16 bytes ref:1558 
Leak(458)  32 bytes ref:1559 
Leak(459)  16 bytes ref:1561 
Leak(460)  32 bytes ref:1562 
Leak(461)  16 bytes ref:1564 
Leak(462)  32 bytes ref:1565 
Leak(463)  16 bytes ref:1567 
Leak(464)  32 bytes ref:1568 
Leak(465)  16 bytes ref:1570 
Leak(466)  32 bytes ref:1571 
Leak(467)  16 bytes ref:1573 
Leak(468)  32 bytes ref:1574 
Leak(469)  16 bytes ref:1576 
Leak(470)  32 bytes ref:1577 
Leak(471)  16 bytes ref:1579 
Leak(472)  32 bytes ref:1580 
Leak(473)  16 bytes ref:1582 
Leak(474)  32 bytes ref:1583 
Leak(475)  16 bytes ref:1585 
Leak(476)  32 bytes ref:1586 
Leak(477)  16 bytes ref:1588 
Leak(478)  48 bytes ref:1589 
Leak(479)  16 bytes ref:1591 
Leak(480)  32 bytes ref:1592 
Leak(481)  16 bytes ref:1594 
Leak(482)  32 bytes ref:1595 
Leak(483)  16 bytes ref:1597 
Leak(484)  32 bytes ref:1598 
Leak(485)  16 bytes ref:1600 
Leak(486)  32 bytes ref:1601 
Leak(487)  16 bytes ref:1603 
Leak(488)  32 bytes ref:1604 
Leak(489)  16 bytes ref:1606 
Leak(490)  32 bytes ref:1607 
Leak(491)  16 bytes ref:1609 
Leak(492)  32 bytes ref:1610 
Leak(493)  16 bytes ref:1612 
Leak(494)  32 bytes ref:1613 
Leak(495)  16 bytes ref:1615 
Leak(496)  32 bytes ref:1616 
Leak(497)  16 bytes ref:1618 
Leak(498)  32 bytes ref:1619 
Leak(499)  16 bytes ref:1621 
Leak(500)  32 bytes ref:1622 
Leak(501)  16 bytes ref:1624 
Leak(502)  32 bytes ref:1625 
Leak(503)  16 bytes ref:1627 
Leak(504)  32 bytes ref:1628 
Leak(505)  16 bytes ref:1630 
Leak(506)  32 bytes ref:1631 
Leak(507)  16 bytes ref:1633 
Leak(508)  32 bytes ref:1634 
Leak(509)  16 bytes ref:1636 
Leak(510)  32 bytes ref:1637 
Leak(511)  16 bytes ref:1639 
Leak(512)  32 bytes ref:1640 
Leak(513)  16 bytes ref:1642 
Leak(514)  32 bytes ref:1643 
Leak(515)  16 bytes ref:1645 
Leak(516)  32 bytes ref:1646 
Leak(517)  16 bytes ref:1648 
Leak(518)  32 bytes ref:1649 
Leak(519)  16 bytes ref:1651 
Leak(520)  32 bytes ref:1652 
Leak(521)  16 bytes ref:1654 
Leak(522)  32 bytes ref:1655 
Leak(523)  16 bytes ref:1657 
Leak(524)  32 bytes ref:1658 
Leak(525)  16 bytes ref:1662 
Leak(526)  32 bytes ref:1663 
Leak(527)  16 bytes ref:1665 
Leak(528)  32 bytes ref:1666 
Leak(529)  16 bytes ref:1668 
Leak(530)  32 bytes ref:1669 
Leak(531)  16 bytes ref:1671 
Leak(532)  32 bytes ref:1672 
Leak(533)  16 bytes ref:1674 
Leak(534)  32 bytes ref:1675 
Leak(535)  16 bytes ref:1679 
Leak(536)  48 bytes ref:1680 
Leak(537)  16 bytes ref:1682 
Leak(538)  32 bytes ref:1683 
Leak(539)  16 bytes ref:1685 
Leak(540)  32 bytes ref:1686 
Leak(541)  16 bytes ref:1688 
Leak(542)  32 bytes ref:1689 
Leak(543)  16 bytes ref:1691 
Leak(544)  32 bytes ref:1692 
Leak(545)  16 bytes ref:1694 
Leak(546)  32 bytes ref:1695 
Leak(547)  16 bytes ref:1697 
Leak(548)  32 bytes ref:1698 
Leak(549)  16 bytes ref:1700 
Leak(550)  48 bytes ref:1701 
Leak(551)  16 bytes ref:1703 
Leak(552)  48 bytes ref:1704 
Leak(553)  16 bytes ref:1706 
Leak(554)  48 bytes ref:1707 
Leak(555)  16 bytes ref:1709 
Leak(556)  32 bytes ref:1710 
Leak(557)  16 bytes ref:1712 
Leak(558)  32 bytes ref:1713 
Leak(559)  16 bytes ref:1715 
Leak(560)  48 bytes ref:1716 
Leak(561)  16 bytes ref:1718 
Leak(562)  64 bytes ref:1719 
Leak(563)  16 bytes ref:1721 
Leak(564)  32 bytes ref:1722 
Leak(565)  16 bytes ref:1724 
Leak(566)  32 bytes ref:1725 
Leak(567)  16 bytes ref:1727 
Leak(568)  32 bytes ref:1728 
Leak(569)  16 bytes ref:1730 
Leak(570)  32 bytes ref:1731 
Leak(571)  16 bytes ref:1733 
Leak(572)  32 bytes ref:1734 
Leak(573)  16 bytes ref:1736 
Leak(574)  32 bytes ref:1737 
Leak(575)  16 bytes ref:1739 
Leak(576)  32 bytes ref:1740 
Leak(577)  16 bytes ref:1742 
Leak(578)  48 bytes ref:1743 
